cafe,street,user,time,stars,reviews
Remarkable Beans,Queen St E,Arhum A,a year ago, 5 stars ,Well deserving of this 5 star rating for George. Food and coffee are always fresh and George is always extremely welcoming.
Remarkable Beans,Queen St E,Corey Mueller,a year ago, 5 stars ,George is a solid guy. The coffee ☕  and vegan sausage roll is absolutely amazing. My new spot in the morning.
Remarkable Beans,Queen St E,Hitesh Thukral,a year ago, 4 stars ,
Remarkable Beans,Queen St E,Sal Celestial,a year ago, 5 stars ,"The carrot cake is incredible!!!
I have to try the rest :)"
Remarkable Beans,Queen St E,David Seemungal,a year ago, 4 stars ,
Remarkable Beans,Queen St E,James Scott,a year ago, 3 stars ,
Remarkable Beans,Queen St E,Rabab Jahan,a year ago, 5 stars ,
Remarkable Beans,Queen St E,David Banh,a year ago, 1 star ,"Ordered the matcha latte. There was barely any flavour of the matcha, drank it when I got home. It tasted like microwaved milk with a hint of green tea."
Remarkable Beans,Queen St E,Maria Vaysman,a year ago, 5 stars ,Delicious pastries and drinks!! Great service! Easy to purchase thru a window (great if you have a dog and cant come inside) 😊 …
Remarkable Beans,Queen St E,Dino Teixeira,a year ago, 4 stars ,
Remarkable Beans,Queen St E,Andrea Kavanagh,a year ago, 5 stars ,Picking up my beverages here in their great little curb side hub during Covid in my neighborhood has made my days a little brighter. You guys make the BEST matcha latte in the area!
Remarkable Beans,Queen St E,Nicole Knight,2 years ago, 5 stars ,I ordered three different coffee blends from their online store. They shipped really quickly.  The 25th Anniversary blend is perfect and I can't wait to try the other two!
Remarkable Beans,Queen St E,Karen T,2 years ago, 5 stars ,"Purchased their espresso beans, latte and mince pies. Absolute treat of a place!"
Remarkable Beans,Queen St E,Kirstie,2 years ago, 4 stars ,My go to for fresh ground coffee. This cute little local spot in Queen East is a gem! Curb side purchase is easy peasy and I will continue to support😁 …
Remarkable Beans,Queen St E,Alex Winch,2 years ago, 5 stars ,"Great coffee  and friendly, relaxed staff. If you want a total indulgence,  go for the cranberry muffins."
Remarkable Beans,Queen St E,Tony Bitzionis,2 years ago, 5 stars ,
Remarkable Beans,Queen St E,Raoul R.V.,2 years ago, 5 stars ,Great freshly roasted coffee beans.
Remarkable Beans,Queen St E,Kolaborator Spitz,2 years ago, 5 stars ,
Remarkable Beans,Queen St E,Anne Gingras,2 years ago, 5 stars ,
Remarkable Beans,Queen St E,Stephen Lussier (ioweyouacoke),2 years ago, 4 stars ,
Remarkable Beans,Queen St E,Pem Vivian,2 years ago, 5 stars ,
Remarkable Beans,Queen St E,Effie Panagiotopoulos,2 years ago, 5 stars ,Great coffee and great atmosphere! Baristas very friendly and knowledgeable @
Remarkable Beans,Queen St E,Ramon Martinez,3 years ago, 5 stars ,"Great espresso, kind staff"
Remarkable Beans,Queen St E,aa aa,3 years ago, 5 stars ,Service was friendly and Lucas was very amicable. Coffee was great and staff is knowledgeable of products
Remarkable Beans,Queen St E,John Armstrong,3 years ago, 5 stars ,"Quiet, amiable staff"
Remarkable Beans,Queen St E,Matt West,3 years ago, 5 stars ,"Great coffee, chill vibe"
Remarkable Beans,Queen St E,Sean Maclellan,3 years ago, 5 stars ,
Remarkable Beans,Queen St E,Joyce Yan,3 years ago, 1 star ,
Remarkable Beans,Queen St E,Rob Mandel,3 years ago, 4 stars ,"Expensive, but good coffee. Nice decor"
Remarkable Beans,Queen St E,Ruan Marcus,3 years ago, 5 stars ,Friendly service and really enjoyed the hot-chocolate and butter-tarts
Remarkable Beans,Queen St E,Dennis Mantin,3 years ago, 5 stars ,George is as fab as ever!
Remarkable Beans,Queen St E,Chris Adams,3 years ago, 4 stars ,
Remarkable Beans,Queen St E,B1 Laxson,3 years ago, 5 stars ,Its a cozy dive in the wonderful sort of way.
Remarkable Beans,Queen St E,Tanya Stander,3 years ago, 5 stars ,I have been drinking El Zipa coffee from the Remarkable Bean for about 4 years now and I can honestly say this is still my favourite coffee in Toronto (and beyond)! I’ve never had a bad bag of coffee and everyone who drinks it comments how incredibly delicious it is. We just use it in a pour over and it works every time. Delicious! What a joy it is to receive a fresh bag of this coffee delivered to my door every week!!! Keep up the beautiful roast guys!!!
Remarkable Beans,Queen St E,Kameron -,3 years ago, 5 stars ,Good food options and coffee is consistent. Need a ramp of stroller but prob not possible
Remarkable Beans,Queen St E,Zaid Gulma,3 years ago, 5 stars ,
Remarkable Beans,Queen St E,Peggy Maki,3 years ago, 5 stars ,enjoyable environment.
Remarkable Beans,Queen St E,Sheena Yap Chan,3 years ago, 4 stars ,A cute coffee shop in Leslieville with some yummy food such as their vegan sausage roll.  Friendly staff and price is reasonable.
Remarkable Beans,Queen St E,Realistyazar “Cansu Yildiz Heo”,3 years ago, 5 stars ,
Remarkable Beans,Queen St E,Dave Hersh,3 years ago, 4 stars ,Good coffee....mediocre comedy
Remarkable Beans,Queen St E,Fuad Fikret,3 years ago, 5 stars ,"Service was perfect.I asked from the guy what was his favourtie,he suggest us Carrot Cake,and yes he was right!!Thank you guys"
